question,label
Is the Earth round?,closed
Is water wet?,closed
Is fire hot?,closed
Is ice colder than water?,closed
Is Python a programming language?,closed
Is Java statically typed?,closed
Is JavaScript single-threaded?,closed
Is Linux open source?,closed
Is HTML a programming language?,closed
Is CSS used for styling?,closed
Is Australia a country?,closed
Is Sydney the capital of Australia?,closed
Is Canberra the capital of Australia?,closed
Is Tokyo in Japan?,closed
Is Paris in France?,closed
Is Mount Everest the tallest mountain on Earth?,closed
Is the Pacific Ocean the largest ocean?,closed
Is the Sun a star?,closed
Is Pluto classified as a planet?,closed
Is Mars known as the red planet?,closed
Is oxygen necessary for human survival?,closed
Is carbon a chemical element?,closed
Is gold a metal?,closed
Is sodium chloride salt?,closed
Is water H2O?,closed
Is zero an even number?,closed
Is one a prime number?,closed
Is two the smallest prime number?,closed
Is infinity a number?,closed
Is light faster than sound?,closed
Is sound a wave?,closed
Is gravity a force?,closed
Is time measured in seconds?,closed
Is a year longer than a month?,closed
Is a triangle a polygon?,closed
Is a square a rectangle?,closed
Is a rectangle a square?,closed
Is a circle a polygon?,closed
Is π approximately 3.14?,closed
Is algebra a branch of mathematics?,closed
Is calculus used in physics?,closed
Is history the study of the past?,closed
Is philosophy concerned with fundamental questions?,closed
Is economics the study of scarcity?,closed
Is psychology the study of the mind?,closed
Is sociology the study of society?,closed
Is biology the study of living organisms?,closed
Is chemistry about matter?,closed
Is physics about energy and matter?,closed
Is astronomy the study of space?,closed
Is medicine related to health?,closed
Is law concerned with rules?,closed
Is democracy a form of government?,closed
Is monarchy a form of government?,closed
Is capitalism an economic system?,closed
Is socialism an economic system?,closed
Is communism an ideology?,closed
Is the internet a network?,closed
Is email a form of communication?,closed
Is WiFi wireless?,closed
Is Bluetooth a communication protocol?,closed
Is TCP a transport protocol?,closed
Is UDP connectionless?,closed
Is HTTP stateless?,closed
Is HTTPS secure?,closed
Is encryption used for security?,closed
Is hashing reversible?,closed
Is SHA-256 a hash function?,closed
Is RSA an encryption algorithm?,closed
Is AES symmetric encryption?,closed
Is machine learning a subset of AI?,closed
Is deep learning a subset of machine learning?,closed
Is a neural network inspired by the brain?,closed
Is training data required for supervised learning?,closed
Is overfitting a machine learning problem?,closed
Is underfitting a machine learning problem?,closed
Is gradient descent an optimization algorithm?,closed
Is backpropagation used in neural networks?,closed
Is Python popular in data science?,closed
Is R used for statistics?,closed
Is SQL used for databases?,closed
Is PostgreSQL a relational database?,closed
Is MongoDB a NoSQL database?,closed
Is Redis an in-memory store?,closed
Is Docker used for containerization?,closed
